Year,Experiment,Location,Treatment,Trt_code,Rep,Plot,Baseline Nitrate,Recalculated IWG Grain kg/ha,Recalculated IWG Straw kg/ha,Legume Biomass kg/ha,Total VBiomass,Legume,Weed Biomass kg/ha,Legume weed biomass kg/ha,Plot,IWG_%C,IWG_13C,IWG_%N,IWG_15N,IWG_CN,Diff_IWG_LEG,Leg_Fraction,% N_transfer
2017,Legume Trial,Lamberton,40 Lbs lb N/Ac,MedN,1,108,,277.736,1990.64,NA,1990.64,0,14.35406699,8.373205742,108,43.3502966,-29.475,3.82,4.5579,11.3535,NA,NA,NA
2017,Legume Trial,Lamberton,40 Lbs lb N/Ac,MedN,2,206,,330.184,2395.92,NA,2395.92,0,166.2679426,58.61244019,206,42.8336821,-29.109,3.98,3.04,10.7502,NA,NA,NA
2017,Legume Trial,Lamberton,40 Lbs lb N/Ac,MedN,3,301,,344.488,2395.92,NA,2395.92,0,377.9904306,409.0909091,301,43.5853258,-28.991,4.18,3.6803,10.4337,NA,NA,NA
2017,Legume Trial,Lamberton,40 Lbs lb N/Ac,MedN,4,406,,373.096,2920.4,NA,2920.4,0,19.13875598,0,406,43.115598,-28.979,3.86,2.3494,11.1606,NA,NA,NA
2017,Legume Trial,Lamberton,80 Lbs lb N/Ac,HiN,1,102,,0,2515.12,NA,2515.12,0,290.6698565,0,102,43.4499941,-28.985,3.8,5.6184,11.4204,NA,NA,NA
2017,Legume Trial,Lamberton,80 Lbs lb N/Ac,HiN,2,203,,296.808,1704.56,NA,1704.56,0,473.6842105,0,203,43.1055845,-28.964,3.82,5.3934,11.2818,NA,NA,NA
2017,Legume Trial,Lamberton,80 Lbs lb N/Ac,HiN,3,306,,10.728,NA,NA,NA,0,1062.200957,313.3971292,306,43.3594951,-29.333,3.93,5.9651,11.0396,NA,NA,NA
2017,Legume Trial,Lamberton,80 Lbs lb N/Ac,HiN,4,405,,151.384,1609.2,NA,1609.2,0,385.1674641,380.3827751,405,43.1697973,-29.353,4.18,2.5745,10.3366,NA,NA,NA
2017,Legume Trial,Lamberton,Alfalfa,Alf,1,105,,268.2,1919.12,694.9760766,2614.096077,1,10.76555024,0,105,41.8691798,-30.193,3.4,4.3231,12.3177,0.06311651,0.9663694,-0.372058541
2017,Legume Trial,Lamberton,Alfalfa,Alf,2,204,,7.152,393.36,2187.799043,2581.159043,1,130.3827751,0,204,41.7965533,-30.388,3.11,4.4905,13.421,0.08048618,0.95338885,-0.413486679
2017,Legume Trial,Lamberton,Alfalfa,Alf,3,309,,257.472,2062.16,619.6172249,2681.777225,1,0,0,309,NA,NA,NA,NA,NA,NA,NA,NA
2017,Legume Trial,Lamberton,Alfalfa,Alf,4,404,,218.136,2348.24,1272.727273,3620.967273,1,0,0,404,41.7693184,-30.151,3.44,2.1686,12.1454,0.05864663,0.98543577,0.161226082
